name	version
NM_001001968	1
NM_001001971	2
NM_001001973	3
NM_001001974	3
NM_001001975	2
NM_001001976	2
NM_001001991	3
NM_001001992	1
NM_001001994	3
NM_001001995	3
NM_001001996	2
NM_001001998	3
NM_001002	4
NM_001002000	3
NM_001002001	3
NM_001002002	3
NM_001002006	3
NM_001002009	2
NM_001002010	4
NM_001002017	2
NM_001002018	2
NM_001002019	3
NM_001002020	3
NM_001002021	3
NM_001002026	3
NM_001002027	2
NM_001002029	3
NM_001002030	2
NM_001002031	4
NM_001002032	3
NM_001002033	3
NM_001002034	3
NM_001002035	1
NM_001002036	3
NM_001002231	3
NM_001002235	3
NM_001002236	3
NM_001002243	3
NM_001002244	2
NM_001002245	2
NM_001002246	2
NM_001002247	2
NM_001002248	2
NM_001002249	2
NM_001002251	2
NM_001002252	2
NM_001002254	1
NM_001002255	2
NM_001002257	3
NM_001002258	5
NM_001002259	2
NM_001002261	3
NM_001002262	4
NM_001002264	4
NM_001002266	3
NM_001002269	2
NM_001002273	2
NM_001002274	2
NM_001002275	2
NM_001002292	3
NM_001002294	3
NM_001002295	2
NM_001002296	2
NM_001002755	3
NM_001002756	2
NM_001002758	1
NM_001002759	1
NM_001002760	1
NM_001002761	1
NM_001002762	4
NM_001002796	3
NM_001002800	3
NM_001002810	3
NM_001002811	2
NM_001002812	2
NM_001002814	3
NM_001002836	4
NM_001002837	2
NM_001002838	4
NM_001002841	1
NM_001002843	2
NM_001002844	2
NM_001002847	3
NM_001002857	2
NM_001002858	3
NM_001002860	4
NM_001002862	3
NM_001002876	2
NM_001002877	2
NM_001002878	1
NM_001002879	1
NM_001002880	1
NM_001002901	3
NM_001002905	1
NM_001002906	1
NM_001002907	1
NM_001002909	4
NM_001002911	3
NM_001002912	5
NM_001002913	3
NM_001002914	2
NM_001002915	2
NM_001002916	4
NM_001002917	1
NM_001002918	1
NM_001002919	3
NM_001002920	1
NM_001002923	2
NM_001002924	3
NM_001002925	1
NM_001002926	2
NM_001003	3
NM_001003395	3
NM_001003396	3
NM_001003397	3
NM_001003398	3
NM_001003406	2
NM_001003407	2
NM_001003443	2
NM_001003652	4
NM_001003665	4
NM_001003674	3
NM_001003675	3
NM_001003676	2
NM_001003677	3
NM_001003678	3
NM_001003679	3
NM_001003680	3
NM_001003681	3
NM_001003682	4
NM_001003683	2
NM_001003684	1
NM_001003688	1
NM_001003690	1
NM_001003692	2
NM_001003693	3
NM_001003694	2
NM_001003696	1
NM_001003697	1
NM_001003698	4
NM_001003699	4
NM_001003700	2
NM_001003701	1
NM_001003702	2
NM_001003703	1
NM_001003704	3
NM_001003712	2
NM_001003713	3
NM_001003714	3
NM_001003715	4
NM_001003716	4
NM_001003722	1
NM_001003745	1
NM_001003750	1
NM_001003760	5
NM_001003785	2
NM_001003786	3
NM_001003787	4
NM_001003788	3
NM_001003789	3
NM_001003790	4
NM_001003791	3
NM_001003792	3
NM_001003793	3
NM_001003794	2
NM_001003795	3
NM_001003796	2
NM_001003799	1
NM_001003800	2
NM_001003801	2
NM_001003802	1
NM_001003803	3
NM_001003805	3
NM_001003806	1
NM_001003809	3
NM_001003810	1
NM_001003811	2
NM_001003818	3
NM_001003819	4
NM_001003827	1
NM_001003828	2
NM_001003841	3
NM_001003845	3
NM_001003891	3
NM_001003892	2
NM_001003894	1
NM_001003895	1
NM_001003897	2
NM_001003927	3
NM_001003931	3
NM_001003936	4
NM_001003937	3
NM_001003938	4
NM_001003940	2
NM_001003941	3
NM_001003942	1
NM_001003943	3
NM_001003945	2
NM_001003954	3
NM_001003962	3
NM_001004	4
NM_001004019	2
NM_001004023	2
NM_001004051	4
NM_001004052	1
NM_001004055	1
NM_001004056	2
NM_001004057	2
NM_001004058	2
NM_001004059	2
NM_001004060	1
NM_001004063	2
NM_001004064	1
NM_001004065	4
NM_001004067	4
NM_001004105	3
NM_001004106	3
NM_001004124	2
NM_001004125	2
NM_001004127	3
NM_001004128	2
NM_001004134	1
NM_001004135	1
NM_001004136	1
NM_001004137	1
NM_001004195	2
NM_001004196	3
NM_001004297	3
NM_001004298	3
NM_001004301	4
NM_001004303	5
NM_001004304	4
NM_001004306	2
NM_001004308	2
NM_001004309	3
NM_001004310	3
NM_001004311	3
NM_001004312	2
NM_001004313	2
NM_001004316	2
NM_001004317	4
NM_001004318	3
NM_001004319	2
NM_001004320	2
NM_001004323	3
NM_001004325	2
NM_001004328	2
NM_001004329	3
NM_001004330	2
NM_001004333	4
NM_001004334	3
NM_001004339	3
NM_001004340	4
NM_001004341	2
NM_001004342	4
NM_001004343	3
NM_001004346	4
NM_001004351	5
NM_001004352	2
NM_001004353	3
NM_001004354	3
NM_001004356	3
NM_001004358	1
NM_001004360	4
NM_001004416	2
NM_001004419	5
NM_001004426	2
NM_001004431	3
NM_001004432	3
NM_001004434	3
NM_001004439	2
NM_001004440	1
NM_001004441	3
NM_001004450	1
NM_001004451	1
NM_001004452	1
NM_001004453	2
NM_001004454	1
NM_001004456	1
NM_001004457	2
NM_001004458	1
NM_001004459	1
NM_001004460	1
NM_001004461	1
NM_001004462	1
NM_001004463	1
NM_001004464	1
NM_001004465	1
NM_001004466	1
NM_001004467	1
NM_001004469	1
NM_001004470	3
NM_001004471	2
NM_001004472	1
NM_001004473	1
NM_001004474	1
NM_001004475	1
NM_001004476	1
NM_001004477	1
NM_001004478	1
NM_001004479	1
NM_001004480	1
NM_001004481	1
NM_001004482	1
NM_001004483	1
NM_001004484	1
NM_001004485	1
NM_001004486	1
NM_001004487	1
NM_001004488	1
NM_001004489	2
NM_001004490	1
NM_001004491	1
NM_001004492	1
NM_001004684	1
NM_001004685	1
NM_001004686	2
NM_001004687	1
NM_001004688	1
NM_001004689	1
NM_001004690	1
NM_001004691	1
NM_001004692	1
NM_001004693	1
NM_001004694	2
NM_001004695	1
NM_001004696	1
NM_001004697	2
NM_001004698	2
NM_001004699	2
NM_001004700	2
NM_001004701	2
NM_001004702	2
NM_001004703	1
NM_001004704	1
NM_001004705	1
NM_001004706	1
NM_001004707	3
NM_001004708	1
NM_001004711	1
NM_001004712	1
NM_001004713	1
NM_001004714	1
NM_001004715	2
NM_001004717	1
NM_001004719	2
NM_001004720	3
NM_001004722	3
NM_001004723	3
NM_001004724	1
NM_001004725	1
NM_001004726	1
NM_001004727	1
NM_001004728	1
NM_001004729	1
NM_001004730	1
NM_001004731	3
NM_001004732	2
NM_001004733	2
NM_001004734	1
NM_001004735	1
NM_001004736	3
NM_001004737	1
NM_001004738	2
NM_001004739	1
NM_001004740	1
NM_001004741	1
NM_001004742	2
NM_001004743	1
NM_001004744	1
NM_001004745	1
NM_001004746	1
NM_001004747	1
NM_001004748	1
NM_001004749	1
NM_001004750	1
NM_001004751	2
NM_001004752	2
NM_001004753	2
NM_001004754	2
NM_001004755	1
NM_001004756	2
NM_001004757	2
NM_001004758	1
NM_001004759	2
NM_001004760	2
NM_001005	5
NM_001005160	2
NM_001005161	3
NM_001005162	2
NM_001005163	2
NM_001005164	2
NM_001005165	1
NM_001005166	2
NM_001005167	2
NM_001005168	1
NM_001005169	1
NM_001005170	2
NM_001005171	2
NM_001005172	2
NM_001005173	3
NM_001005174	1
NM_001005175	3
NM_001005176	3
NM_001005177	3
NM_001005178	1
NM_001005179	3
NM_001005180	3
NM_001005181	2
NM_001005182	1
NM_001005183	1
NM_001005184	1
NM_001005185	1
NM_001005186	2
NM_001005187	1
NM_001005188	1
NM_001005189	1
NM_001005190	1
NM_001005191	2
NM_001005192	2
NM_001005193	1
NM_001005194	2
NM_001005195	1
NM_001005196	1
NM_001005197	1
NM_001005198	1
NM_001005199	1
NM_001005200	1
NM_001005201	1
NM_001005202	1
NM_001005203	2
NM_001005204	1
NM_001005205	2
NM_001005207	5
NM_001005209	3
NM_001005210	4
NM_001005211	1
NM_001005212	4
NM_001005213	1
NM_001005214	3
NM_001005216	3
NM_001005217	2
NM_001005218	1
NM_001005221	2
NM_001005224	1
NM_001005226	2
NM_001005234	1
NM_001005235	1
NM_001005236	3
NM_001005237	1
NM_001005238	1
NM_001005239	1
NM_001005240	2
NM_001005241	3
NM_001005242	2
NM_001005243	1
NM_001005245	1
NM_001005270	4
NM_001005271	3
NM_001005272	3
NM_001005273	2
NM_001005274	1
NM_001005275	1
NM_001005276	1
NM_001005277	1
NM_001005278	1
NM_001005279	2
NM_001005280	1
NM_001005281	1
NM_001005282	1
NM_001005283	2
NM_001005284	1
NM_001005285	2
NM_001005286	1
NM_001005287	1
NM_001005288	2
NM_001005289	1
NM_001005290	3
NM_001005291	3
NM_001005323	1
NM_001005324	1
NM_001005325	1
NM_001005326	1
NM_001005327	2
NM_001005328	1
NM_001005329	1
NM_001005332	2
NM_001005333	2
NM_001005335	2
NM_001005336	3
NM_001005337	3
NM_001005338	1
NM_001005339	2
NM_001005340	2
NM_001005353	2
NM_001005354	2
NM_001005356	3
NM_001005360	2
NM_001005361	2
NM_001005362	2
NM_001005365	2
NM_001005366	2
NM_001005367	3
NM_001005368	2
NM_001005369	1
NM_001005373	3
NM_001005374	3
NM_001005375	2
NM_001005376	2
NM_001005377	3
NM_001005386	2
NM_001005388	2
NM_001005389	2
NM_001005404	4
NM_001005405	3
NM_001005407	1
NM_001005408	2
NM_001005413	1
NM_001005415	1
NM_001005416	2
NM_001005417	2
NM_001005463	3
NM_001005464	2
NM_001005465	1
NM_001005466	2
NM_001005467	1
NM_001005468	1
NM_001005469	1
NM_001005470	1
NM_001005471	1
NM_001005473	3
NM_001005474	3
NM_001005476	3
NM_001005479	2
NM_001005480	2
NM_001005482	1
NM_001005483	1
NM_001005484	1
NM_001005486	1
NM_001005487	1
NM_001005489	2
NM_001005490	1
NM_001005491	1
NM_001005492	1
NM_001005493	1
NM_001005494	1
NM_001005495	1
NM_001005496	1
NM_001005497	1
NM_001005498	3
NM_001005499	1
NM_001005500	1
NM_001005501	1
NM_001005502	2
NM_001005503	1
NM_001005504	1
NM_001005505	3
NM_001005512	2
NM_001005513	1
